Participant,Training,Condition,Random #,ConditionID,SpringIndex,Spring #1,Spring #2,Switch X&Y?,Final X,Final Y,Final X Value,Final Y Value
1,,COUNTERBALANCE,,0,,,,,,,,
1,*,Hapkit + Graphics,0.641117388,1,0,W,Q,No,W,Q,75,55
1,,Hapkit + Graphics,0.021772972,1,1,Q,W,Yes,W,Q,75,55
1,,Hapkit + Graphics,0.121676393,1,2,S,Q,No,S,Q,35,55
1,,Hapkit + Graphics,0.260012135,1,3,U,S,No,U,S,15,35
1,,Hapkit + Graphics,0.298245541,1,4,S,Q,Yes,Q,S,55,35
1,,Hapkit + Graphics,0.307600877,1,5,Q,W,No,Q,W,55,75
1,,Hapkit + Graphics,0.33351447,1,6,U,S,No,U,S,15,35
1,,Hapkit + Graphics,0.345647633,1,7,S,Q,Yes,Q,S,55,35
1,,Hapkit + Graphics,0.390979403,1,8,U,S,No,U,S,15,35
1,,Hapkit + Graphics,0.486921644,1,9,U,S,No,U,S,15,35
1,,Hapkit + Graphics,0.587832625,1,10,Q,W,No,Q,W,55,75
1,,Hapkit + Graphics,0.610283985,1,11,U,S,No,U,S,15,35
1,,Hapkit + Graphics,0.698580034,1,12,Q,W,No,Q,W,55,75
1,,Hapkit + Graphics,0.86948285,1,13,S,Q,Yes,Q,S,55,35
1,,Hapkit + Graphics,0.896013298,1,14,S,Q,Yes,Q,S,55,35
1,,Hapkit + Graphics,0.94749368,1,15,Q,W,Yes,W,Q,75,55
1,*,Hapkit Only,0.472243354,0,0,S,Q,Yes,Q,S,55,35
1,,Hapkit Only,0.199377759,0,1,U,S,Yes,S,U,35,15
1,,Hapkit Only,0.227258543,0,2,Q,W,Yes,W,Q,75,55
1,,Hapkit Only,0.310716432,0,3,Q,W,No,Q,W,55,75
1,,Hapkit Only,0.341369079,0,4,S,Q,No,S,Q,35,55
1,,Hapkit Only,0.465445695,0,5,U,S,No,U,S,15,35
1,,Hapkit Only,0.505225639,0,6,U,S,Yes,S,U,35,15
1,,Hapkit Only,0.520246527,0,7,U,S,Yes,S,U,35,15
1,,Hapkit Only,0.528153033,0,8,Q,W,No,Q,W,55,75
1,,Hapkit Only,0.555783917,0,9,Q,W,Yes,W,Q,75,55
1,,Hapkit Only,0.643149983,0,10,U,S,Yes,S,U,35,15
1,,Hapkit Only,0.65574843,0,11,S,Q,Yes,Q,S,55,35
1,,Hapkit Only,0.75328129,0,12,S,Q,No,S,Q,35,55
1,,Hapkit Only,0.886453683,0,13,S,Q,Yes,Q,S,55,35
1,,Hapkit Only,0.903390528,0,14,S,Q,No,S,Q,35,55
1,,Hapkit Only,0.958563809,0,15,Q,W,Yes,W,Q,75,55
2,,COUNTERBALANCE,0.369219315,0,,,,Yes,,,,
2,*,Hapkit + Graphics,0.764190024,1,0,W,Q,Yes,Q,W,55,75
2,,Hapkit + Graphics,0.034786574,1,1,U,S,No,U,S,15,35
2,,Hapkit + Graphics,0.058394833,1,2,S,Q,No,S,Q,35,55
2,,Hapkit + Graphics,0.084636618,1,3,Q,W,Yes,W,Q,75,55
2,,Hapkit + Graphics,0.103169454,1,4,Q,W,Yes,W,Q,75,55
2,,Hapkit + Graphics,0.214330446,1,5,S,Q,No,S,Q,35,55
2,,Hapkit + Graphics,0.405486505,1,6,Q,W,Yes,W,Q,75,55
2,,Hapkit + Graphics,0.499691256,1,7,S,Q,Yes,Q,S,55,35
2,,Hapkit + Graphics,0.517063773,1,8,Q,W,No,Q,W,55,75
2,,Hapkit + Graphics,0.579369494,1,9,U,S,No,U,S,15,35
2,,Hapkit + Graphics,0.657527992,1,10,U,S,No,U,S,15,35
2,,Hapkit + Graphics,0.735110087,1,11,S,Q,No,S,Q,35,55
2,,Hapkit + Graphics,0.84622452,1,12,U,S,No,U,S,15,35
2,,Hapkit + Graphics,0.851772724,1,13,Q,W,No,Q,W,55,75
2,,Hapkit + Graphics,0.96723308,1,14,U,S,Yes,S,U,35,15
2,,Hapkit + Graphics,0.984819663,1,15,S,Q,No,S,Q,35,55
2,*,Hapkit Only,0.836406177,0,0,Q,S,Yes,S,Q,35,55
2,,Hapkit Only,0.038045753,0,1,U,S,Yes,S,U,35,15
2,,Hapkit Only,0.104208165,0,2,U,S,Yes,S,U,35,15
2,,Hapkit Only,0.214838798,0,3,S,Q,Yes,Q,S,55,35
2,,Hapkit Only,0.216891018,0,4,Q,W,No,Q,W,55,75
2,,Hapkit Only,0.245718354,0,5,S,Q,Yes,Q,S,55,35
2,,Hapkit Only,0.250782522,0,6,U,S,No,U,S,15,35
2,,Hapkit Only,0.267111638,0,7,Q,W,Yes,W,Q,75,55
2,,Hapkit Only,0.324318202,0,8,U,S,No,U,S,15,35
2,,Hapkit Only,0.479759419,0,9,Q,W,Yes,W,Q,75,55
2,,Hapkit Only,0.490896741,0,10,Q,W,Yes,W,Q,75,55
2,,Hapkit Only,0.588051658,0,11,U,S,Yes,S,U,35,15
2,,Hapkit Only,0.636813202,0,12,Q,W,Yes,W,Q,75,55
2,,Hapkit Only,0.689239615,0,13,S,Q,Yes,Q,S,55,35
2,,Hapkit Only,0.787391876,0,14,S,Q,No,S,Q,35,55
2,,Hapkit Only,0.827814249,0,15,S,Q,No,S,Q,35,55
3,,COUNTERBALANCE,0.471549511,0,,,,No,,,,
3,*,Hapkit + Graphics,0.902922549,1,0,W,Q,No,W,Q,75,55
3,,Hapkit + Graphics,0.00684182,1,1,S,Q,No,S,Q,35,55
3,,Hapkit + Graphics,0.174886247,1,2,U,S,Yes,S,U,35,15
3,,Hapkit + Graphics,0.18838113,1,3,S,Q,No,S,Q,35,55
3,,Hapkit + Graphics,0.238985817,1,4,Q,W,Yes,W,Q,75,55
3,,Hapkit + Graphics,0.326164364,1,5,Q,W,Yes,W,Q,75,55
3,,Hapkit + Graphics,0.333653276,1,6,U,S,Yes,S,U,35,15
3,,Hapkit + Graphics,0.394504215,1,7,Q,W,No,Q,W,55,75
3,,Hapkit + Graphics,0.505818249,1,8,U,S,No,U,S,15,35
3,,Hapkit + Graphics,0.511097764,1,9,U,S,No,U,S,15,35
3,,Hapkit + Graphics,0.625083726,1,10,Q,W,Yes,W,Q,75,55
3,,Hapkit + Graphics,0.762620653,1,11,U,S,Yes,S,U,35,15
3,,Hapkit + Graphics,0.789250023,1,12,Q,W,Yes,W,Q,75,55
3,,Hapkit + Graphics,0.803045311,1,13,S,Q,Yes,Q,S,55,35
3,,Hapkit + Graphics,0.926162139,1,14,S,Q,No,S,Q,35,55
3,,Hapkit + Graphics,0.968944203,1,15,S,Q,No,S,Q,35,55
3,*,Hapkit Only,0.798998226,0,0,Q,W,Yes,W,Q,75,55
3,,Hapkit Only,0.00146832,0,1,U,S,Yes,S,U,35,15
3,,Hapkit Only,0.076162042,0,2,S,Q,No,S,Q,35,55
3,,Hapkit Only,0.169531809,0,3,Q,W,No,Q,W,55,75
3,,Hapkit Only,0.192493057,0,4,S,Q,Yes,Q,S,55,35
